date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:31	14702/14702	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Jan%202019%2001:20:31%20GMT	https://fitatmidlife.com/timer/	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/index.html	(from )
11:22:31	69/69	---MCZ	200	added ('OK')	text/plain	date:Sun,%2020%20Jan%202019%2010:22:48%20GMT	https://fitatmidlife.com/robots.txt		(from )
11:22:32	52719/52719	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cdef-56b800e74c863-gzip%22	https://fitatmidlife.com/timer/timerv5.js?date=20180505	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/timerv54be2.js	(from https://fitatmidlife.com/timer/)
11:22:33	67126/67126	---M--	200	added ('OK')	audio/mpeg	etag:%2210636-555544e293d4a%22	https://fitatmidlife.com/timer/bell1.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/bell1.mp3	(from https://fitatmidlife.com/timer/)
11:22:33	43929/43929	---M--	200	added ('OK')	audio/mpeg	etag:%22ab99-555544e2d448a%22	https://fitatmidlife.com/timer/buzzer3_x.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/buzzer3_x.mp3	(from https://fitatmidlife.com/timer/)
11:22:33	43929/43929	---M--	200	added ('OK')	audio/mpeg	etag:%22ab99-555544e30904a%22	https://fitatmidlife.com/timer/buzzer_x.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/buzzer_x.mp3	(from https://fitatmidlife.com/timer/)
11:22:34	2969/2969	---M--	200	added ('OK')	audio/mpeg	etag:%22b99-555544e33bcca%22	https://fitatmidlife.com/timer/click_x.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/click_x.mp3	(from https://fitatmidlife.com/timer/)
11:22:34	5059/5059	---M--	200	added ('OK')	audio/mpeg	etag:%2213c3-555544e3b4e4b%22	https://fitatmidlife.com/timer/short1.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/short1.mp3	(from https://fitatmidlife.com/timer/)
11:22:34	3387/3387	---M--	200	added ('OK')	audio/mpeg	etag:%22d3b-555544e3e5b8b%22	https://fitatmidlife.com/timer/short2.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/short2.mp3	(from https://fitatmidlife.com/timer/)
11:22:35	40168/40168	---M--	200	added ('OK')	audio/mpeg	etag:%229ce8-555544e3775eb%22	https://fitatmidlife.com/timer/gong.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/gong.mp3	(from https://fitatmidlife.com/timer/)
11:22:37	56492/56492	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:22:54%20GMT	https://fitatmidlife.com/timer/round1.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round1.8.delayed	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2020%20Jan%202019%2010:22:54%20GMT	https://fitatmidlife.com/timer/weight-bench-buyers-guide/	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/weight-bench-buyers-guide/index.html	(from https://fitatmidlife.com/timer/)
11:22:39	57103/57103	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:22:56%20GMT	https://fitatmidlife.com/timer/round2.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round2.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:41	60197/60197	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:22:58%20GMT	https://fitatmidlife.com/timer/round3.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round3.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:44	57094/57094	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:00%20GMT	https://fitatmidlife.com/timer/round4.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round4.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:47	56633/56633	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:04%20GMT	https://fitatmidlife.com/timer/round5.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round5.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:50	56087/56087	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:06%20GMT	https://fitatmidlife.com/timer/round6.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round6.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:52	56801/56801	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:08%20GMT	https://fitatmidlife.com/timer/round7.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round7.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:54	56321/56321	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:11%20GMT	https://fitatmidlife.com/timer/round8.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round8.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:22:57	57205/57205	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:14%20GMT	https://fitatmidlife.com/timer/round9.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round9.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:23:00	57192/57192	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:17%20GMT	https://fitatmidlife.com/timer/round10.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round10.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:23:03	59017/59017	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:20%20GMT	https://fitatmidlife.com/timer/round11.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round11.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:23:06	54550/54550	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:23%20GMT	https://fitatmidlife.com/timer/round12.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/round12.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
11:23:09	58553/58553	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2020%20Jan%202019%2010:23:26%20GMT	https://fitatmidlife.com/timer/fightcomplete.mp3	C:/My%20Web%20Sites/timer/fitatmidlife.com/timer/fightcomplete.mp3	(from https://fitatmidlife.com/timer/timerv5.js?date=20180505)
